QueryId,Iteration,DocId,Relevance
Q01,1,english-corpora/R00278.txt,1
Q01,1,english-corpora/T00002.txt,1
Q01,1,english-corpora/T00573.txt,1
Q01,1,english-corpora/S00396.txt,1
Q01,1,english-corpora/T00798.txt,1
Q01,1,english-corpora/P04094.txt,1
Q01,1,english-corpora/T00080.txt,1
Q01,1,english-corpora/P04066.txt,1
Q01,1,english-corpora/P04107.txt,1
Q01,1,english-corpora/P01004.txt,1
Q02,1,english-corpora/T00848.txt,1
Q02,1,english-corpora/T01237.txt,1
Q02,1,english-corpora/L00276.txt,1
Q02,1,english-corpora/T00038.txt,1
Q02,1,english-corpora/T00081.txt,1
Q02,1,english-corpora/T00670.txt,1
Q02,1,english-corpora/T00166.txt,1
Q02,1,english-corpora/T00006.txt,1
Q02,1,english-corpora/T00870.txt,1
Q02,1,english-corpora/T00011.txt,1
Q03,1,english-corpora/S00614.txt,1
Q03,1,english-corpora/R00092.txt,1
Q03,1,english-corpora/C00003.txt,1
Q03,1,english-corpora/S00500.txt,1
Q03,1,english-corpora/S00681.txt,1
Q03,1,english-corpora/C00754.txt,1
Q03,1,english-corpora/C00153.txt,1
Q03,1,english-corpora/C00111.txt,1
Q03,1,english-corpora/C00962.txt,1
Q03,1,english-corpora/C00889.txt,1
Q04,1,english-corpora/C00001.txt,1
Q04,1,english-corpora/C00237.txt,1
Q04,1,english-corpora/C00111.txt,1
Q04,1,english-corpora/C00660.txt,1
Q04,1,english-corpora/C00561.txt,1
Q04,1,english-corpora/C00851.txt,1
Q04,1,english-corpora/C00096.txt,1
Q04,1,english-corpora/C00324.txt,1
Q04,1,english-corpora/C00441.txt,1
Q04,1,english-corpora/C00581.txt,1
Q05,1,english-corpora/L00169.txt,1
Q05,1,english-corpora/L00080.txt,1
Q05,1,english-corpora/T00517.txt,1
Q05,1,english-corpora/R00160.txt,1
Q05,1,english-corpora/T01238.txt,1
Q05,1,english-corpora/T00485.txt,1
Q05,1,english-corpora/T00477.txt,1
Q05,1,english-corpora/T01256.txt,1
Q05,1,english-corpora/S00641.txt,1
Q05,1,english-corpora/S00987.txt,1
Q06,1,english-corpora/C00137.txt,1
Q06,1,english-corpora/C00894.txt,1
Q06,1,english-corpora/C00131.txt,1
Q06,1,english-corpora/C00376.txt,1
Q06,1,english-corpora/C00119.txt,1
Q06,1,english-corpora/C00444.txt,1
Q06,1,english-corpora/C00581.txt,1
Q06,1,english-corpora/C00554.txt,1
Q06,1,english-corpora/C00480.txt,1
Q06,1,english-corpora/C00022.txt,1
Q07,1,english-corpora/R00452.txt,1
Q07,1,english-corpora/R00453.txt,1
Q07,1,english-corpora/R00451.txt,1
Q07,1,english-corpora/R00457.txt,1
Q07,1,english-corpora/S00224.txt,1
Q07,1,english-corpora/R00461.txt,1
Q07,1,english-corpora/R00454.txt,1
Q07,1,english-corpora/L00186.txt,1
Q07,1,english-corpora/L00021.txt,1
Q07,1,english-corpora/L00124.txt,1
Q08,1,english-corpora/D00258.txt,1
Q08,1,english-corpora/D00149.txt,1
Q08,1,english-corpora/D00769.txt,1
Q08,1,english-corpora/D00952.txt,1
Q08,1,english-corpora/D00038.txt,1
Q08,1,english-corpora/D00527.txt,1
Q08,1,english-corpora/D00695.txt,1
Q08,1,english-corpora/D00932.txt,1
Q08,1,english-corpora/D00628.txt,1
Q08,1,english-corpora/D00096.txt,1
Q09,1,english-corpora/C00019.txt,1
Q09,1,english-corpora/C00817.txt,1
Q09,1,english-corpora/C00237.txt,1
Q09,1,english-corpora/C00431.txt,1
Q09,1,english-corpora/C00144.txt,1
Q09,1,english-corpora/C00174.txt,1
Q09,1,english-corpora/C00047.txt,1
Q09,1,english-corpora/C00778.txt,1
Q09,1,english-corpora/C00442.txt,1
Q09,1,english-corpora/C00360.txt,1
Q10,1,english-corpora/P06060.txt,1
Q10,1,english-corpora/P06061.txt,1
Q10,1,english-corpora/P03061.txt,1
Q10,1,english-corpora/P03060.txt,1
Q10,1,english-corpora/P06065.txt,1
Q10,1,english-corpora/P06064.txt,1
Q10,1,english-corpora/P03068.txt,1
Q10,1,english-corpora/P04013.txt,1
Q10,1,english-corpora/P06012.txt,1
Q10,1,english-corpora/P04010.txt,1
Q11,1,english-corpora/S00971.txt,1
Q11,1,english-corpora/C00354.txt,1
Q11,1,english-corpora/S00499.txt,1
Q11,1,english-corpora/C00212.txt,1
Q11,1,english-corpora/S00829.txt,1
Q11,1,english-corpora/C00813.txt,1
Q11,1,english-corpora/S00155.txt,1
Q11,1,english-corpora/C00199.txt,1
Q11,1,english-corpora/C00078.txt,1
Q11,1,english-corpora/S00924.txt,1
Q12,1,english-corpora/R00314.txt,1
Q12,1,english-corpora/L00197.txt,1
Q12,1,english-corpora/S00182.txt,1
Q12,1,english-corpora/S00493.txt,1
Q12,1,english-corpora/M00315.txt,1
Q12,1,english-corpora/R00366.txt,1
Q12,1,english-corpora/S00333.txt,1
Q12,1,english-corpora/S00688.txt,1
Q12,1,english-corpora/S00039.txt,1
Q12,1,english-corpora/C00359.txt,1
Q13,1,english-corpora/T00205.txt,1
Q13,1,english-corpora/T00209.txt,1
Q13,1,english-corpora/T00656.txt,1
Q13,1,english-corpora/T00596.txt,1
Q13,1,english-corpora/T00210.txt,1
Q13,1,english-corpora/T00207.txt,1
Q13,1,english-corpora/T00143.txt,1
Q13,1,english-corpora/T00661.txt,1
Q13,1,english-corpora/T01183.txt,1
Q13,1,english-corpora/T00448.txt,1
Q14,1,english-corpora/D00112.txt,1
Q14,1,english-corpora/S00737.txt,1
Q14,1,english-corpora/S00354.txt,1
Q14,1,english-corpora/D00145.txt,1
Q14,1,english-corpora/S00430.txt,1
Q14,1,english-corpora/C00696.txt,1
Q14,1,english-corpora/S00957.txt,1
Q14,1,english-corpora/S00655.txt,1
Q14,1,english-corpora/S00705.txt,1
Q14,1,english-corpora/D00512.txt,1
Q15,1,english-corpora/L00331.txt,1
Q15,1,english-corpora/L00145.txt,1
Q15,1,english-corpora/L00049.txt,1
Q15,1,english-corpora/L00377.txt,1
Q15,1,english-corpora/L00373.txt,1
Q15,1,english-corpora/L00195.txt,1
Q15,1,english-corpora/L00091.txt,1
Q15,1,english-corpora/L00220.txt,1
Q15,1,english-corpora/L00045.txt,1
Q15,1,english-corpora/L00441.txt,1
Q16,1,english-corpora/M00169.txt,1
Q16,1,english-corpora/M00023.txt,1
Q16,1,english-corpora/M00065.txt,1
Q16,1,english-corpora/M00141.txt,1
Q16,1,english-corpora/C00082.txt,1
Q16,1,english-corpora/M00117.txt,1
Q16,1,english-corpora/M00164.txt,1
Q16,1,english-corpora/M00165.txt,1
Q16,1,english-corpora/M00157.txt,1
Q16,1,english-corpora/M00022.txt,1
Q17,1,english-corpora/D00372.txt,1
Q17,1,english-corpora/D00306.txt,1
Q17,1,english-corpora/D00190.txt,1
Q17,1,english-corpora/D00350.txt,1
Q17,1,english-corpora/D00981.txt,1
Q17,1,english-corpora/D00812.txt,1
Q17,1,english-corpora/D00631.txt,1
Q17,1,english-corpora/D00447.txt,1
Q17,1,english-corpora/D00566.txt,1
Q17,1,english-corpora/D00854.txt,1
Q18,1,english-corpora/C00740.txt,1
Q18,1,english-corpora/D00767.txt,1
Q18,1,english-corpora/M00306.txt,1
Q18,1,english-corpora/S00346.txt,1
Q18,1,english-corpora/C00142.txt,1
Q18,1,english-corpora/C00260.txt,1
Q18,1,english-corpora/D00867.txt,1
Q18,1,english-corpora/C00428.txt,1
Q18,1,english-corpora/M00041.txt,1
Q18,1,english-corpora/C00247.txt,1
Q19,1,english-corpora/P_1526.txt,1
Q19,1,english-corpora/P_1527.txt,1
Q19,1,english-corpora/P_745.txt,1
Q19,1,english-corpora/S00315.txt,1
Q19,1,english-corpora/P_1366.txt,1
Q19,1,english-corpora/P_1494.txt,1
Q19,1,english-corpora/P_1259.txt,1
Q19,1,english-corpora/P_1414.txt,1
Q19,1,english-corpora/P_1559.txt,1
Q19,1,english-corpora/P_1451.txt,1
Q20,1,english-corpora/P_2046.txt,1
Q20,1,english-corpora/P_2045.txt,1
Q20,1,english-corpora/P_1973.txt,1
Q20,1,english-corpora/P_2066.txt,1
Q20,1,english-corpora/P_1821.txt,1
Q20,1,english-corpora/P_2026.txt,1
Q20,1,english-corpora/P_2036.txt,1
Q20,1,english-corpora/P_2062.txt,1
Q20,1,english-corpora/P_1272.txt,1
Q20,1,english-corpora/P_328.txt,1
